Source Group;Source;Souree A;Target group;Target;Target A;weight;p-value;error
Q1;Hybrid reality;2,5;Q5;Share my data with AI;2,3;-0,062;0,441;0,081
Q1;Hybrid reality;2,5;Q5;Take ownership of my data;3,4;0,034;0,675;0,081
Q1;Microsoft co-pilot;2,3;Q5;Decide which data I share with whom;3,9;-0,037;0,645;0,081
Q1;Microsoft co-pilot;2,3;Q5;Govern my data manually;3,1;0,023;0,774;0,081
Q1;Microsoft co-pilot;2,3;Q5;Let AI restrict other AI in collecting my data;3;0,051;0,528;0,081
Q1;Microsoft co-pilot;2,3;Q5;Sell my data upon payment;2,6;0,037;0,646;0,081
Q1;Microsoft co-pilot;2,3;Q5;Share data for a common good (non profit);3;0,042;0,601;0,081
Q1;Microsoft co-pilot;2,3;Q5;Share my data to increase my safety;3,3;-0,018;0,825;0,081
Q1;Microsoft co-pilot;2,3;Q5;Share my data with AI;2,3;-0,027;0,74;0,081
Q1;Microsoft co-pilot;2,3;Q5;Take ownership of my data;3,4;-0,03;0,713;0,081
Q1;Personal data;3,8;Q5;Decide which data I share with whom;3,9;0,051;0,531;0,081
Q1;Personal data;3,8;Q5;Govern my data manually;3,1;0,065;0,42;0,081
Q1;Personal data;3,8;Q5;Let AI restrict other AI in collecting my data;3;0,016;0,843;0,081
Q1;Personal data;3,8;Q5;Sell my data upon payment;2,6;0,104;0,196;0,08
Q1;Personal data;3,8;Q5;Share data for a common good (non profit);3;0,113;0,162;0,08
Q1;Personal data;3,8;Q5;Share my data to increase my safety;3,3;0,039;0,631;0,081
Q1;Personal data;3,8;Q5;Share my data with AI;2,3;0,094;0,247;0,08
Q1;Personal data;3,8;Q5;Take ownership of my data;3,4;0,058;0,472;0,081
Q1;VR Glasses;3,6;Q5;Decide which data I share with whom;3,9;0,104;0,196;0,08
Q1;VR Glasses;3,6;Q5;Govern my data manually;3,1;0,107;0,185;0,08
Q1;VR Glasses;3,6;Q5;Let AI restrict other AI in collecting my data;3;0,186;0,02;0,079
Q1;VR Glasses;3,6;Q5;Sell my data upon payment;2,6;0,024;0,771;0,081
Q1;VR Glasses;3,6;Q5;Share data for a common good (non profit);3;0,162;0,045;0,08
Q1;VR Glasses;3,6;Q5;Share my data to increase my safety;3,3;0,07;0,386;0,081
Q1;VR Glasses;3,6;Q5;Share my data with AI;2,3;0,027;0,739;0,081
Q1;VR Glasses;3,6;Q5;Take ownership of my data;3,4;0,049;0,548;0,081
Q2;Social media;2,4;Q3;Combine data with other data sources;3,2;0,285;0;0,077
Q2;A secret service;2,1;Q3;Combine data with other data sources;3,2;0,228;0,004;0,079
Q2;A smart vehicle approaching;3;Q3;Combine data with other data sources;3,2;0,404;0;0,074
Q2;Social media;2,4;Q3;Declare why they need data;4;0,043;0,596;0,081
Q2;Social media;2,4;Q3;Delete data after analysis;3,8;-0,131;0,105;0,08
Q2;Social media;2,4;Q3;Publicly disclose data analysis results;2,9;0,155;0,054;0,08
Q2;An app accessing my mobile videos;2,6;Q3;Combine data with other data sources;3,2;0,33;0;0,076
Q2;Marketing companies;2,6;Q3;Combine data with other data sources;3,2;0,212;0,008;0,079
Q2;A friend;3,7;Q3;Act upon received data;3,1;0,147;0,068;0,08
Q2;Smart city planners;3;Q3;Combine data with other data sources;3,2;0,315;0;0,077
Q2;A friend;3,7;Q3;Combine data with other data sources;3,2;0,153;0,057;0,08
Q2;A friend;3,7;Q3;Declare why they need data;4;0,052;0,518;0,081
Q2;A friend;3,7;Q3;Delete data after analysis;3,8;0,027;0,742;0,081
Q2;A friend;3,7;Q3;Publicly disclose data analysis results;2,9;0,027;0,735;0,081
Q2;Social media;2,4;Q3;Act upon received data;3,1;0,272;0,001;0,078
Q2;A secret service;2,1;Q3;Act upon received data;3,1;0,164;0,041;0,08
Q2;A smart vehicle approaching;3;Q3;Act upon received data;3,1;0,226;0,005;0,079
Q2;An app accessing my mobile videos;2,6;Q3;Act upon received data;3,1;0,235;0,003;0,079
Q2;Marketing companies;2,6;Q3;Act upon received data;3,1;0,253;0,001;0,078
Q2;A secret service;2,1;Q3;Declare why they need data;4;0,048;0,55;0,081
Q2;A secret service;2,1;Q3;Delete data after analysis;3,8;0,108;0,182;0,08
Q2;A secret service;2,1;Q3;Publicly disclose data analysis results;2,9;0,084;0,301;0,081
Q2;A secret service;2,1;Q3;Share data with others;2,5;0,153;0,057;0,08
Q2;Smart city planners;3;Q3;Act upon received data;3,1;0,281;0;0,078
Q2;A smart vehicle approaching;3;Q3;Publicly disclose data analysis results;2,9;0,242;0,002;0,078
Q2;Marketing companies;2,6;Q3;Publicly disclose data analysis results;2,9;0,167;0,037;0,08
Q2;Smart city planners;3;Q3;Publicly disclose data analysis results;2,9;0,22;0,006;0,079
Q2;A smart vehicle approaching;3;Q3;Declare why they need data;4;-0,05;0,535;0,081
Q2;A smart vehicle approaching;3;Q3;Delete data after analysis;3,8;0,014;0,858;0,081
Q2;Social media;2,4;Q3;Collect and store data;2,7;0,459;0;0,072
Q2;A friend;3,7;Q3;Collect and store data;2,7;0,285;0;0,077
Q2;A secret service;2,1;Q3;Collect and store data;2,7;0,285;0;0,077
Q2;A smart vehicle approaching;3;Q3;Collect and store data;2,7;0,382;0;0,075
Q2;An app accessing my mobile videos;2,6;Q3;Collect and store data;2,7;0,464;0;0,072
Q2;Marketing companies;2,6;Q3;Collect and store data;2,7;0,228;0,004;0,079
Q2;An app accessing my mobile videos;2,6;Q3;Declare why they need data;4;0,005;0,946;0,081
Q2;An app accessing my mobile videos;2,6;Q3;Delete data after analysis;3,8;-0,074;0,361;0,081
Q2;An app accessing my mobile videos;2,6;Q3;Publicly disclose data analysis results;2,9;0,144;0,074;0,08
Q2;Police;2,2;Q3;Collect and store data;2,7;0,243;0,002;0,078
Q2;Smart city planners;3;Q3;Collect and store data;2,7;0,381;0;0,075
Q2;Social media;2,4;Q3;Share data with others;2,5;0,293;0;0,077
Q2;A friend;3,7;Q3;Share data with others;2,5;0,191;0,017;0,079
Q2;A smart vehicle approaching;3;Q3;Share data with others;2,5;0,289;0;0,077
Q2;Marketing companies;2,6;Q3;Declare why they need data;4;-0,017;0,832;0,081
Q2;Marketing companies;2,6;Q3;Delete data after analysis;3,8;-0,017;0,83;0,081
Q2;An app accessing my mobile videos;2,6;Q3;Share data with others;2,5;0,303;0;0,077
Q2;Marketing companies;2,6;Q3;Share data with others;2,5;0,305;0;0,077
Q2;Smart city planners;3;Q3;Share data with others;2,5;0,225;0,005;0,079
Q2;Police;2,2;Q3;Act upon received data;3,1;0,087;0,282;0,081
Q2;Social media;2,4;Q3;Use AI to design your profile;2,4;0,228;0,004;0,079
Q2;Police;2,2;Q3;Combine data with other data sources;3,2;0,145;0,071;0,08
Q2;Police;2,2;Q3;Declare why they need data;4;0,078;0,335;0,081
Q2;Police;2,2;Q3;Delete data after analysis;3,8;-0,058;0,474;0,081
Q2;Police;2,2;Q3;Publicly disclose data analysis results;2,9;0,059;0,463;0,081
Q2;Police;2,2;Q3;Share data with others;2,5;0,077;0,34;0,081
Q2;Police;2,2;Q3;Use AI to design your profile;2,4;0,121;0,133;0,08
Q2;A friend;3,7;Q3;Use AI to design your profile;2,4;0,21;0,009;0,079
Q2;A secret service;2,1;Q3;Use AI to design your profile;2,4;0,179;0,026;0,08
Q2;A smart vehicle approaching;3;Q3;Use AI to design your profile;2,4;0,349;0;0,076
Q2;Smart city planners;3;Q3;Declare why they need data;4;0,083;0,307;0,081
Q2;Smart city planners;3;Q3;Delete data after analysis;3,8;-0,04;0,623;0,081
Q2;An app accessing my mobile videos;2,6;Q3;Use AI to design your profile;2,4;0,367;0;0,075
Q2;Marketing companies;2,6;Q3;Use AI to design your profile;2,4;0,172;0,032;0,08
Q2;Smart city planners;3;Q3;Use AI to design your profile;2,4;0,11;0,174;0,08
Q2;Social media;2,4;Q4;Me, I have recorded it;4,2;-0,029;0,723;0,081
Q2;Social media;2,4;Q4;The mobile device producer;1,8;0,246;0,002;0,078
Q2;Social media;2,4;Q4;The App developer;1,8;0,219;0,006;0,079
Q2;Social media;2,4;Q4;The state;1,6;0,325;0;0,076
Q2;Social media;2,4;Q4;Whoever was recorded;2,9;0,013;0,874;0,081
Q2;A friend;3,7;Q4;Me, I have recorded it;4,2;0;0,997;0,081
Q2;A friend;3,7;Q4;The mobile device producer;1,8;0,134;0,098;0,08
Q2;A friend;3,7;Q4;The App developer;1,8;0,187;0,02;0,079
Q2;A friend;3,7;Q4;The state;1,6;0,167;0,038;0,08
Q2;A friend;3,7;Q4;Whoever was recorded;2,9;-0,005;0,953;0,081
Q2;A secret service;2,1;Q4;Me, I have recorded it;4,2;-0,058;0,477;0,081
Q2;A secret service;2,1;Q4;The mobile device producer;1,8;-0,006;0,94;0,081
Q2;A secret service;2,1;Q4;The App developer;1,8;0,066;0,416;0,081
Q2;A secret service;2,1;Q4;The state;1,6;0,159;0,048;0,08
Q2;A secret service;2,1;Q4;Whoever was recorded;2,9;0,084;0,299;0,081
Q2;A smart vehicle approaching;3;Q4;Me, I have recorded it;4,2;0,157;0,052;0,08
Q2;A smart vehicle approaching;3;Q4;The mobile device producer;1,8;0,063;0,436;0,081
Q2;A smart vehicle approaching;3;Q4;The App developer;1,8;0,182;0,024;0,08
Q2;A smart vehicle approaching;3;Q4;The state;1,6;0,173;0,031;0,08
Q2;A smart vehicle approaching;3;Q4;Whoever was recorded;2,9;0,131;0,103;0,08
Q2;An app accessing my mobile videos;2,6;Q4;Me, I have recorded it;4,2;0,007;0,926;0,081
Q2;An app accessing my mobile videos;2,6;Q4;The mobile device producer;1,8;0,162;0,045;0,08
Q2;An app accessing my mobile videos;2,6;Q4;The App developer;1,8;0,265;0,001;0,078
Q2;An app accessing my mobile videos;2,6;Q4;The state;1,6;0,167;0,038;0,08
Q2;An app accessing my mobile videos;2,6;Q4;Whoever was recorded;2,9;-0,024;0,77;0,081
Q2;Marketing companies;2,6;Q4;Me, I have recorded it;4,2;-0,01;0,899;0,081
Q2;Marketing companies;2,6;Q4;The mobile device producer;1,8;0,235;0,003;0,079
Q2;Marketing companies;2,6;Q4;The App developer;1,8;0,251;0,002;0,078
Q2;Marketing companies;2,6;Q4;The state;1,6;0,209;0,009;0,079
Q2;Marketing companies;2,6;Q4;Whoever was recorded;2,9;-0,034;0,673;0,081
Q2;Police;2,2;Q4;Me, I have recorded it;4,2;-0,01;0,903;0,081
Q2;Police;2,2;Q4;The mobile device producer;1,8;-0,055;0,499;0,081
Q2;Police;2,2;Q4;The App developer;1,8;0,06;0,462;0,081
Q2;Police;2,2;Q4;The state;1,6;0,11;0,172;0,08
Q2;Police;2,2;Q4;Whoever was recorded;2,9;0,166;0,038;0,08
Q2;Smart city planners;3;Q4;Me, I have recorded it;4,2;0,093;0,252;0,08
Q2;Smart city planners;3;Q4;The mobile device producer;1,8;0,137;0,089;0,08
Q2;Smart city planners;3;Q4;The App developer;1,8;0,128;0,113;0,08
Q2;Smart city planners;3;Q4;The state;1,6;0,141;0,079;0,08
Q2;Smart city planners;3;Q4;Whoever was recorded;2,9;0,051;0,525;0,081
Q2;Social media;2,4;Q5;Decide which data I share with whom;3,9;0,034;0,671;0,081
Q2;Social media;2,4;Q5;Govern my data manually;3,1;-0,042;0,601;0,081
Q2;Social media;2,4;Q5;Let AI restrict other AI in collecting my data;3;-0,028;0,73;0,081
Q2;Social media;2,4;Q5;Sell my data upon payment;2,6;0,118;0,143;0,08
Q2;Social media;2,4;Q5;Share data for a common good (non profit);3;0,064;0,429;0,081
Q2;Social media;2,4;Q5;Share my data to increase my safety;3,3;0,129;0,111;0,08
Q2;Social media;2,4;Q5;Share my data with AI;2,3;0,2;0,013;0,079
Q2;Social media;2,4;Q5;Take ownership of my data;3,4;-0,051;0,532;0,081
Q2;A friend;3,7;Q5;Decide which data I share with whom;3,9;0,234;0,003;0,079
Q2;A friend;3,7;Q5;Govern my data manually;3,1;-0,017;0,836;0,081
Q2;A friend;3,7;Q5;Let AI restrict other AI in collecting my data;3;0,011;0,895;0,081
Q2;A friend;3,7;Q5;Sell my data upon payment;2,6;0,051;0,529;0,081
Q2;A friend;3,7;Q5;Share data for a common good (non profit);3;0,13;0,108;0,08
Q2;A friend;3,7;Q5;Share my data to increase my safety;3,3;0,265;0,001;0,078
Q2;A friend;3,7;Q5;Share my data with AI;2,3;0,197;0,014;0,079
Q2;A friend;3,7;Q5;Take ownership of my data;3,4;0,013;0,871;0,081
Q2;A secret service;2,1;Q5;Decide which data I share with whom;3,9;0,055;0,494;0,081
Q2;A secret service;2,1;Q5;Govern my data manually;3,1;-0,072;0,376;0,081
Q2;A secret service;2,1;Q5;Let AI restrict other AI in collecting my data;3;0,032;0,691;0,081
Q2;A secret service;2,1;Q5;Sell my data upon payment;2,6;0,202;0,012;0,079
Q2;A secret service;2,1;Q5;Share data for a common good (non profit);3;0,05;0,539;0,081
Q2;A secret service;2,1;Q5;Share my data to increase my safety;3,3;0,152;0,059;0,08
Q2;A secret service;2,1;Q5;Share my data with AI;2,3;0,171;0,033;0,08
Q2;A secret service;2,1;Q5;Take ownership of my data;3,4;-0,048;0,556;0,081
Q2;A smart vehicle approaching;3;Q5;Decide which data I share with whom;3,9;0,132;0,101;0,08
Q2;A smart vehicle approaching;3;Q5;Govern my data manually;3,1;0,047;0,562;0,081
Q2;A smart vehicle approaching;3;Q5;Let AI restrict other AI in collecting my data;3;0,076;0,35;0,081
Q2;A smart vehicle approaching;3;Q5;Sell my data upon payment;2,6;0,118;0,144;0,08
Q2;A smart vehicle approaching;3;Q5;Share data for a common good (non profit);3;0,144;0,073;0,08
Q2;A smart vehicle approaching;3;Q5;Share my data to increase my safety;3,3;0,137;0,088;0,08
Q2;A smart vehicle approaching;3;Q5;Share my data with AI;2,3;0,208;0,009;0,079
Q2;A smart vehicle approaching;3;Q5;Take ownership of my data;3,4;-0,083;0,302;0,081
Q2;An app accessing my mobile videos;2,6;Q5;Decide which data I share with whom;3,9;0,072;0,375;0,081
Q2;An app accessing my mobile videos;2,6;Q5;Govern my data manually;3,1;-0,058;0,474;0,081
Q2;An app accessing my mobile videos;2,6;Q5;Let AI restrict other AI in collecting my data;3;-0,02;0,809;0,081
Q2;An app accessing my mobile videos;2,6;Q5;Sell my data upon payment;2,6;0,121;0,134;0,08
Q2;An app accessing my mobile videos;2,6;Q5;Share data for a common good (non profit);3;0,129;0,11;0,08
Q2;An app accessing my mobile videos;2,6;Q5;Share my data to increase my safety;3,3;0,221;0,006;0,079
Q2;An app accessing my mobile videos;2,6;Q5;Share my data with AI;2,3;0,316;0;0,077
Q2;An app accessing my mobile videos;2,6;Q5;Take ownership of my data;3,4;0,086;0,285;0,081
Q2;Marketing companies;2,6;Q5;Decide which data I share with whom;3,9;0,141;0,08;0,08
Q2;Marketing companies;2,6;Q5;Govern my data manually;3,1;0,093;0,251;0,08
Q2;Marketing companies;2,6;Q5;Let AI restrict other AI in collecting my data;3;0,013;0,868;0,081
Q2;Marketing companies;2,6;Q5;Sell my data upon payment;2,6;0,175;0,03;0,08
Q2;Marketing companies;2,6;Q5;Share data for a common good (non profit);3;0,15;0,063;0,08
Q2;Marketing companies;2,6;Q5;Share my data to increase my safety;3,3;0,18;0,025;0,08
Q2;Marketing companies;2,6;Q5;Share my data with AI;2,3;0,205;0,011;0,079
Q2;Marketing companies;2,6;Q5;Take ownership of my data;3,4;0,061;0,453;0,081
Q2;Police;2,2;Q5;Decide which data I share with whom;3,9;0,011;0,89;0,081
Q2;Police;2,2;Q5;Govern my data manually;3,1;0,01;0,899;0,081
Q2;Police;2,2;Q5;Let AI restrict other AI in collecting my data;3;-0,034;0,67;0,081
Q2;Police;2,2;Q5;Sell my data upon payment;2,6;0,118;0,143;0,08
Q2;Police;2,2;Q5;Share data for a common good (non profit);3;0,093;0,252;0,08
Q2;Police;2,2;Q5;Share my data to increase my safety;3,3;0,062;0,444;0,081
Q2;Police;2,2;Q5;Share my data with AI;2,3;0,074;0,362;0,081
Q2;Police;2,2;Q5;Take ownership of my data;3,4;-0,015;0,849;0,081
Q2;Smart city planners;3;Q5;Decide which data I share with whom;3,9;0,165;0,041;0,08
Q2;Smart city planners;3;Q5;Govern my data manually;3,1;0,132;0,103;0,08
Q2;Smart city planners;3;Q5;Let AI restrict other AI in collecting my data;3;0,079;0,33;0,081
Q2;Smart city planners;3;Q5;Sell my data upon payment;2,6;0,126;0,117;0,08
Q2;Smart city planners;3;Q5;Share data for a common good (non profit);3;0,163;0,043;0,08
Q2;Smart city planners;3;Q5;Share my data to increase my safety;3,3;0,215;0,007;0,079
Q2;Smart city planners;3;Q5;Share my data with AI;2,3;0,233;0,003;0,079
Q2;Smart city planners;3;Q5;Take ownership of my data;3,4;0,052;0,522;0,081
Q3;Act upon received data;3,1;Q4;Me, I have recorded it;4,2;0,301;0;0,077
Q3;Act upon received data;3,1;Q4;The mobile device producer;1,8;0,117;0,148;0,08
Q3;Act upon received data;3,1;Q4;The App developer;1,8;0,145;0,071;0,08
Q3;Act upon received data;3,1;Q4;The state;1,6;0,159;0,047;0,08
Q3;Act upon received data;3,1;Q4;Whoever was recorded;2,9;0,199;0,013;0,079
Q3;Collect and store data;2,7;Q4;Me, I have recorded it;4,2;0,162;0,044;0,08
Q3;Collect and store data;2,7;Q4;The mobile device producer;1,8;0,132;0,102;0,08
Q3;Collect and store data;2,7;Q4;The App developer;1,8;0,228;0,004;0,079
Q3;Collect and store data;2,7;Q4;The state;1,6;0,108;0,18;0,08
Q3;Collect and store data;2,7;Q4;Whoever was recorded;2,9;0,074;0,361;0,081
Q3;Combine data with other data sources;3,2;Q4;Me, I have recorded it;4,2;0,227;0,004;0,079
Q3;Combine data with other data sources;3,2;Q4;The mobile device producer;1,8;0,102;0,208;0,08
Q3;Combine data with other data sources;3,2;Q4;The App developer;1,8;0,133;0,098;0,08
Q3;Combine data with other data sources;3,2;Q4;The state;1,6;0,149;0,065;0,08
Q3;Combine data with other data sources;3,2;Q4;Whoever was recorded;2,9;0,263;0,001;0,078
Q3;Declare why they need data;4;Q4;Me, I have recorded it;4,2;0,333;0;0,076
Q3;Declare why they need data;4;Q4;The mobile device producer;1,8;-0,067;0,406;0,081
Q3;Declare why they need data;4;Q4;The App developer;1,8;-0,017;0,835;0,081
Q3;Declare why they need data;4;Q4;The state;1,6;0,055;0,497;0,081
Q3;Declare why they need data;4;Q4;Whoever was recorded;2,9;0,285;0;0,077
Q3;Delete data after analysis;3,8;Q4;Me, I have recorded it;4,2;0,329;0;0,076
Q3;Delete data after analysis;3,8;Q4;The mobile device producer;1,8;-0,164;0,042;0,08
Q3;Delete data after analysis;3,8;Q4;The App developer;1,8;-0,139;0,084;0,08
Q3;Delete data after analysis;3,8;Q4;The state;1,6;-0,023;0,779;0,081
Q3;Delete data after analysis;3,8;Q4;Whoever was recorded;2,9;0,155;0,054;0,08
Q3;Publicly disclose data analysis results;2,9;Q4;Me, I have recorded it;4,2;0,237;0,003;0,079
Q3;Publicly disclose data analysis results;2,9;Q4;The mobile device producer;1,8;0,057;0,48;0,081
Q3;Publicly disclose data analysis results;2,9;Q4;The App developer;1,8;0,135;0,094;0,08
Q3;Publicly disclose data analysis results;2,9;Q4;The state;1,6;0,084;0,3;0,081
Q3;Publicly disclose data analysis results;2,9;Q4;Whoever was recorded;2,9;0,073;0,369;0,081
Q3;Share data with others;2,5;Q4;Me, I have recorded it;4,2;0,159;0,049;0,08
Q3;Share data with others;2,5;Q4;The mobile device producer;1,8;0,258;0,001;0,078
Q3;Share data with others;2,5;Q4;The App developer;1,8;0,297;0;0,077
Q3;Share data with others;2,5;Q4;The state;1,6;0,241;0,003;0,078
Q3;Share data with others;2,5;Q4;Whoever was recorded;2,9;0,07;0,385;0,081
Q3;Use AI to design your profile;2,4;Q4;Me, I have recorded it;4,2;0,203;0,011;0,079
Q3;Use AI to design your profile;2,4;Q4;The mobile device producer;1,8;0,167;0,038;0,08
Q3;Use AI to design your profile;2,4;Q4;The App developer;1,8;0,279;0;0,078
Q3;Use AI to design your profile;2,4;Q4;The state;1,6;0,135;0,093;0,08
Q3;Use AI to design your profile;2,4;Q4;Whoever was recorded;2,9;0,081;0,317;0,081
Q3;Act upon received data;3,1;Q5;Decide which data I share with whom;3,9;0,213;0,008;0,079
Q3;Act upon received data;3,1;Q5;Govern my data manually;3,1;0,2;0,013;0,079
Q3;Act upon received data;3,1;Q5;Let AI restrict other AI in collecting my data;3;0,301;0;0,077
Q3;Act upon received data;3,1;Q5;Sell my data upon payment;2,6;0,307;0;0,077
Q3;Act upon received data;3,1;Q5;Share data for a common good (non profit);3;0,214;0,007;0,079
Q3;Act upon received data;3,1;Q5;Share my data to increase my safety;3,3;0,33;0;0,076
Q3;Act upon received data;3,1;Q5;Share my data with AI;2,3;0,26;0,001;0,078
Q3;Act upon received data;3,1;Q5;Take ownership of my data;3,4;0,103;0,201;0,08
Q3;Collect and store data;2,7;Q5;Decide which data I share with whom;3,9;0,148;0,067;0,08
Q3;Collect and store data;2,7;Q5;Govern my data manually;3,1;0,01;0,904;0,081
Q3;Collect and store data;2,7;Q5;Let AI restrict other AI in collecting my data;3;0,023;0,774;0,081
Q3;Collect and store data;2,7;Q5;Sell my data upon payment;2,6;0,189;0,018;0,079
Q3;Collect and store data;2,7;Q5;Share data for a common good (non profit);3;0,179;0,026;0,08
Q3;Collect and store data;2,7;Q5;Share my data to increase my safety;3,3;0,185;0,021;0,079
Q3;Collect and store data;2,7;Q5;Share my data with AI;2,3;0,395;0;0,074
Q3;Collect and store data;2,7;Q5;Take ownership of my data;3,4;0,034;0,671;0,081
Q3;Combine data with other data sources;3,2;Q5;Decide which data I share with whom;3,9;0,327;0;0,076
Q3;Combine data with other data sources;3,2;Q5;Govern my data manually;3,1;0,212;0,008;0,079
Q3;Combine data with other data sources;3,2;Q5;Let AI restrict other AI in collecting my data;3;0,186;0,02;0,079
Q3;Combine data with other data sources;3,2;Q5;Sell my data upon payment;2,6;0,307;0;0,077
Q3;Combine data with other data sources;3,2;Q5;Share data for a common good (non profit);3;0,34;0;0,076
Q3;Combine data with other data sources;3,2;Q5;Share my data to increase my safety;3,3;0,359;0;0,075
Q3;Combine data with other data sources;3,2;Q5;Share my data with AI;2,3;0,394;0;0,074
Q3;Combine data with other data sources;3,2;Q5;Take ownership of my data;3,4;0,111;0,169;0,08
Q3;Declare why they need data;4;Q5;Decide which data I share with whom;3,9;0,36;0;0,075
Q3;Declare why they need data;4;Q5;Govern my data manually;3,1;0,222;0,005;0,079
Q3;Declare why they need data;4;Q5;Let AI restrict other AI in collecting my data;3;0,248;0,002;0,078
Q3;Declare why they need data;4;Q5;Sell my data upon payment;2,6;0,152;0,059;0,08
Q3;Declare why they need data;4;Q5;Share data for a common good (non profit);3;0,331;0;0,076
Q3;Declare why they need data;4;Q5;Share my data to increase my safety;3,3;0,459;0;0,072
Q3;Declare why they need data;4;Q5;Share my data with AI;2,3;0,14;0,083;0,08
Q3;Declare why they need data;4;Q5;Take ownership of my data;3,4;0,238;0,003;0,079
Q3;Delete data after analysis;3,8;Q5;Decide which data I share with whom;3,9;0,194;0,016;0,079
Q3;Delete data after analysis;3,8;Q5;Govern my data manually;3,1;0,129;0,109;0,08
Q3;Delete data after analysis;3,8;Q5;Let AI restrict other AI in collecting my data;3;0,252;0,002;0,078
Q3;Delete data after analysis;3,8;Q5;Sell my data upon payment;2,6;0,108;0,181;0,08
Q3;Delete data after analysis;3,8;Q5;Share data for a common good (non profit);3;0,065;0,42;0,081
Q3;Delete data after analysis;3,8;Q5;Share my data to increase my safety;3,3;0,161;0,045;0,08
Q3;Delete data after analysis;3,8;Q5;Share my data with AI;2,3;-0,056;0,491;0,081
Q3;Delete data after analysis;3,8;Q5;Take ownership of my data;3,4;0,129;0,111;0,08
Q3;Publicly disclose data analysis results;2,9;Q5;Decide which data I share with whom;3,9;0,204;0,011;0,079
Q3;Publicly disclose data analysis results;2,9;Q5;Govern my data manually;3,1;0,243;0,002;0,078
Q3;Publicly disclose data analysis results;2,9;Q5;Let AI restrict other AI in collecting my data;3;0,122;0,132;0,08
Q3;Publicly disclose data analysis results;2,9;Q5;Sell my data upon payment;2,6;0,227;0,005;0,079
Q3;Publicly disclose data analysis results;2,9;Q5;Share data for a common good (non profit);3;0,296;0;0,077
Q3;Publicly disclose data analysis results;2,9;Q5;Share my data to increase my safety;3,3;0,28;0;0,078
Q3;Publicly disclose data analysis results;2,9;Q5;Share my data with AI;2,3;0,242;0,002;0,078
Q3;Publicly disclose data analysis results;2,9;Q5;Take ownership of my data;3,4;0,169;0,035;0,08
Q3;Share data with others;2,5;Q5;Decide which data I share with whom;3,9;0,015;0,857;0,081
Q3;Share data with others;2,5;Q5;Govern my data manually;3,1;0,033;0,688;0,081
Q3;Share data with others;2,5;Q5;Let AI restrict other AI in collecting my data;3;0,156;0,053;0,08
Q3;Share data with others;2,5;Q5;Sell my data upon payment;2,6;0,226;0,005;0,079
Q3;Share data with others;2,5;Q5;Share data for a common good (non profit);3;0,162;0,044;0,08
Q3;Share data with others;2,5;Q5;Share my data to increase my safety;3,3;0,109;0,176;0,08
Q3;Share data with others;2,5;Q5;Share my data with AI;2,3;0,332;0;0,076
Q3;Share data with others;2,5;Q5;Take ownership of my data;3,4;-0,021;0,794;0,081
Q3;Use AI to design your profile;2,4;Q5;Decide which data I share with whom;3,9;0,094;0,244;0,08
Q3;Use AI to design your profile;2,4;Q5;Govern my data manually;3,1;0,09;0,263;0,081
Q3;Use AI to design your profile;2,4;Q5;Let AI restrict other AI in collecting my data;3;0,157;0,052;0,08
Q3;Use AI to design your profile;2,4;Q5;Sell my data upon payment;2,6;0,2;0,012;0,079
Q3;Use AI to design your profile;2,4;Q5;Share data for a common good (non profit);3;0,16;0,046;0,08
Q3;Use AI to design your profile;2,4;Q5;Share my data to increase my safety;3,3;0,157;0,051;0,08
Q3;Use AI to design your profile;2,4;Q5;Share my data with AI;2,3;0,383;0;0,075
Q3;Use AI to design your profile;2,4;Q5;Take ownership of my data;3,4;0,108;0,18;0,08
Q4;Me, I have recorded it;4,2;Q5;Decide which data I share with whom;3,9;0,344;0;0,076
Q4;Whoever was recorded;2,9;Q5;Decide which data I share with whom;3,9;0,295;0;0,077
Q4;Me, I have recorded it;4,2;Q5;Take ownership of my data;3,4;0,381;0;0,075
Q4;Me, I have recorded it;4,2;Q5;Share my data to increase my safety;3,3;0,295;0;0,077
Q4;The App developer;1,8;Q5;Share my data to increase my safety;3,3;0,17;0,034;0,08
Q4;Me, I have recorded it;4,2;Q5;Govern my data manually;3,1;0,295;0;0,077
Q4;Whoever was recorded;2,9;Q5;Govern my data manually;3,1;0,281;0;0,078
Q4;Me, I have recorded it;4,2;Q5;Let AI restrict other AI in collecting my data;3;0,269;0,001;0,078
Q4;The mobile device producer;1,8;Q5;Decide which data I share with whom;3,9;0,044;0,587;0,081
Q4;The mobile device producer;1,8;Q5;Govern my data manually;3,1;0,032;0,694;0,081
Q4;The mobile device producer;1,8;Q5;Let AI restrict other AI in collecting my data;3;0,003;0,967;0,081
Q4;The mobile device producer;1,8;Q5;Sell my data upon payment;2,6;0,157;0,051;0,08
Q4;Me, I have recorded it;4,2;Q5;Share data for a common good (non profit);3;0,253;0,001;0,078
Q4;The mobile device producer;1,8;Q5;Share my data to increase my safety;3,3;0,135;0,094;0,08
Q4;The mobile device producer;1,8;Q5;Share data for a common good (non profit);3;0,159;0,048;0,08
Q4;The mobile device producer;1,8;Q5;Take ownership of my data;3,4;0,035;0,665;0,081
Q4;The App developer;1,8;Q5;Decide which data I share with whom;3,9;0,09;0,267;0,081
Q4;The App developer;1,8;Q5;Govern my data manually;3,1;0,103;0,2;0,08
Q4;The App developer;1,8;Q5;Let AI restrict other AI in collecting my data;3;0,065;0,424;0,081
