Source Group;Source;Souree A;Target group;Target;Target A;weight;p-value;error
Q1;Microsoft co-pilot;2,3;Q2;Police;2,2;0,067;0,407;0,081
Q1;Microsoft co-pilot;2,3;Q2;Smart city planners;3;0,208;0,009;0,079
Q1;Personal data;3,8;Q2;Social media;2,4;0,033;0,686;0,081
Q1;Personal data;3,8;Q2;A friend;3,7;-0,038;0,641;0,081
Q1;Personal data;3,8;Q2;A secret service;2,1;0,073;0,369;0,081
Q1;Personal data;3,8;Q2;A smart vehicle approaching;3;0,084;0,301;0,081
Q1;Personal data;3,8;Q2;An app accessing my mobile videos;2,6;0,069;0,393;0,081
Q1;Personal data;3,8;Q2;Marketing companies;2,6;-0,037;0,643;0,081
Q1;Personal data;3,8;Q2;Police;2,2;0,06;0,458;0,081
Q1;Personal data;3,8;Q2;Smart city planners;3;-0,019;0,815;0,081
Q1;VR Glasses;3,6;Q2;Social media;2,4;0,022;0,789;0,081
Q1;VR Glasses;3,6;Q2;A friend;3,7;-0,032;0,69;0,081
Q1;VR Glasses;3,6;Q2;A secret service;2,1;-0,002;0,982;0,081
Q1;VR Glasses;3,6;Q2;A smart vehicle approaching;3;0,148;0,066;0,08
Q1;VR Glasses;3,6;Q2;An app accessing my mobile videos;2,6;0,091;0,261;0,081
Q1;VR Glasses;3,6;Q2;Marketing companies;2,6;-0,065;0,42;0,081
Q1;VR Glasses;3,6;Q2;Police;2,2;-0,022;0,783;0,081
Q1;VR Glasses;3,6;Q2;Smart city planners;3;0,058;0,47;0,081
Q1;AI;3,7;Q3;Act upon received data;3,1;0,157;0,052;0,08
Q1;AI;3,7;Q3;Declare why they need data;4;0,286;0;0,077
Q1;AI;3,7;Q3;Combine data with other data sources;3,2;0,157;0,052;0,08
Q1;Chat GPT;3,9;Q3;Declare why they need data;4;0,19;0,018;0,079
Q1;Data ownership;3,1;Q3;Declare why they need data;4;0,191;0,017;0,079
Q1;AI;3,7;Q3;Publicly disclose data analysis results;2,9;0,065;0,423;0,081
Q1;AI;3,7;Q3;Share data with others;2,5;-0,078;0,332;0,081
Q1;AI;3,7;Q3;Use AI to design your profile;2,4;0,026;0,745;0,081
Q1;Chat GPT;3,9;Q3;Act upon received data;3,1;0,053;0,511;0,081
Q1;Chat GPT;3,9;Q3;Collect and store data;2,7;0;0,998;0,081
Q1;Chat GPT;3,9;Q3;Combine data with other data sources;3,2;0,033;0,682;0,081
Q1;Eye tracking;3,1;Q3;Declare why they need data;4;0,173;0,031;0,08
Q1;Chat GPT;3,9;Q3;Delete data after analysis;3,8;0,137;0,09;0,08
